Threads,RunTime,OPSML,RUNS
1,0.5952422,3.360044,5
2,0.3029274,6.602245999999999,5
3,0.20742879999999997,9.641991999999998,5
4,0.15683980000000003,12.7519,5
5,0.1281176,15.61072,5
6,0.1076098,18.58612,5
7,0.09269820000000001,21.57572,5
8,0.0827738,24.162499999999998,5
9,0.0743654,26.89502,5
10,0.0677006,29.5466,5
11,0.062231,32.139300000000006,5
12,0.057789599999999997,34.60942,5
13,0.054311399999999996,36.82942,5
14,0.0695766,29.457060000000002,5
15,0.06737699999999999,30.0202,5
16,0.07110740000000002,28.3024,5
17,0.07274300000000002,27.51712,5
18,0.06805380000000001,29.41476,5
19,0.06527200000000001,30.656200000000002,5
20,0.062067000000000004,32.24274,5
21,0.05728,34.95174000000001,5
22,0.0601116,33.40374,5
23,0.06094360000000001,33.119420000000005,5
24,0.061787,32.40638,5
25,0.06139599999999999,32.64944,5
26,0.058713400000000006,34.09546,5
27,0.059965599999999994,33.54976,5
28,0.056691599999999995,35.35954,5
