Threads,RunTime,OPSML,RUNS
1,0.851868,2.347784,5
2,0.42388159999999997,4.718316,5
3,0.2847148,7.024658,5
4,0.216486,9.238562,5
5,0.1747432,11.4454,5
6,0.14689080000000004,13.61576,5
7,0.12636560000000002,15.82738,5
8,0.1119516,17.86538,5
9,0.1007952,19.84232,5
10,0.09063240000000002,22.0674,5
11,0.0842328,23.74508,5
12,0.0765926,26.112560000000002,5
13,0.07160419999999999,27.932419999999997,5
14,0.0964464,20.75884,5
15,0.0999206,20.12554,5
16,0.09997239999999999,20.028299999999998,5
17,0.0952196,21.007759999999998,5
18,0.09001440000000001,22.22786,5
19,0.0787786,25.734520000000003,5
20,0.08117859999999999,24.640360000000005,5
21,0.0810114,24.70788,5
22,0.07785239999999999,25.8079,5
23,0.07555399999999998,26.538940000000004,5
24,0.07870619999999999,25.479639999999996,5
25,0.079425,25.305479999999996,5
26,0.07660940000000001,26.136000000000003,5
27,0.08141100000000001,24.67354,5
28,0.078565,25.520979999999998,5
