Threads,RunTime,OPSML,RUNS
1,0.6120998,3.2674479999999995,5
2,0.3061982,6.531718000000001,5
3,0.20737719999999998,9.64436,5
4,0.15831599999999998,12.633000000000001,5
5,0.12759500000000001,15.67466,5
6,0.1078872,18.538339999999998,5
7,0.092826,21.546479999999995,5
8,0.08303,24.08836,5
9,0.0752476,26.579020000000003,5
10,0.0682384,29.30924,5
11,0.062611,31.94506,5
12,0.057554400000000006,34.75328,5
13,0.053506200000000004,37.3795,5
14,0.06684599999999999,30.161379999999998,5
15,0.0684842,29.632479999999997,5
16,0.0665664,30.77922,5
17,0.0705498,28.37928,5
18,0.0699384,28.626440000000002,5
19,0.0659768,30.34176,5
20,0.0619136,32.32552,5
21,0.0632586,31.67102,5
22,0.0628544,32.03256,5
23,0.0584042,34.46266000000001,5
24,0.06256320000000001,32.087,5
25,0.05943079999999999,33.818599999999996,5
26,0.0585994,34.18729999999999,5
27,0.060100999999999995,33.34707999999999,5
28,0.058927799999999995,33.967879999999994,5
